,exit_1,exit_2,exit_3,exit_4,exit_5,exit_6,exit_7,enter_1,enter_2,enter_3,enter_4,enter_5,enter_6
5,2019-11-26,,,,,,,2020-04-06,,,,,
8,2020-04-07,,,,,,,2021-02-05,,,,,
12,2018-06-17,,,,,,,2019-01-11,,,,,
16,2019-12-05,,,,,,,2020-02-28,,,,,
21,2020-03-09,,,,,,,2020-08-04,,,,,
22,2019-12-10,2019-08-27,2019-05-28,2019-05-28,,,,2020-02-07,2019-11-05,2019-07-23,2019-05-28,,
25,2019-09-27,,,,,,,2020-01-10,,,,,
30,2020-01-21,2019-09-10,,,,,,2020-08-26,2019-09-23,,,,
37,2020-03-06,,,,,,,2020-03-10,,,,,
44,2019-07-12,2019-07-12,2018-12-04,,,,,2020-09-15,2019-02-12,,,,
52,2019-07-11,,,,,,,2019-08-01,,,,,
55,2018-10-26,,,,,,,2019-04-25,,,,,
59,2020-08-10,2019-09-12,,,,,,2020-10-13,2019-11-01,,,,
62,2020-09-11,2019-01-28,,,,,,2020-12-01,2019-07-22,,,,
76,2018-08-27,,,,,,,2018-11-19,,,,,
79,2019-11-07,,,,,,,2020-01-06,,,,,
81,2019-05-28,2019-05-28,2018-11-29,,,,,2020-10-06,2019-05-28,2019-03-07,,,
82,2019-05-28,2018-11-29,,,,,,2020-10-06,2019-03-07,,,,
84,2019-08-07,2018-06-25,,,,,,2019-08-13,2019-08-01,,,,
85,2021-03-30,2020-01-09,,,,,,2021-05-20,2020-10-06,,,,
86,2020-10-22,2019-11-06,,,,,,2021-05-20,2020-10-19,,,,
96,2019-12-23,,,,,,,2020-01-08,,,,,
106,2017-11-16,,,,,,,2018-01-18,,,,,
110,2018-10-29,2018-06-26,,,,,,2018-11-15,2018-08-29,,,,
126,2019-12-06,2019-02-27,,,,,,2020-02-14,2019-10-14,,,,
133,2017-11-29,,,,,,,2018-03-27,,,,,
140,2020-08-28,2020-05-07,2020-03-18,2019-12-12,2019-05-02,,,2020-09-15,2020-06-10,2020-03-31,2020-03-04,2019-07-26,
144,2019-04-16,,,,,,,2019-11-26,,,,,
149,2020-02-11,,,,,,,2020-03-02,,,,,
153,2018-06-27,,,,,,,2018-08-23,,,,,
156,2020-04-23,2019-02-01,2018-10-29,,,,,2021-02-02,2019-02-26,2018-12-11,,,
157,2020-05-30,,,,,,,2020-06-24,,,,,
160,2019-03-13,,,,,,,2019-06-10,,,,,
161,2018-10-09,2018-08-17,,,,,,2019-03-21,2018-09-04,,,,
162,2020-02-11,,,,,,,2020-03-02,,,,,
163,2019-06-26,2019-03-07,,,,,,2020-03-05,2019-05-13,,,,
164,2019-03-07,,,,,,,2019-05-10,,,,,
167,2019-08-01,,,,,,,2020-07-22,,,,,
170,2021-01-19,,,,,,,2021-04-29,,,,,
178,2020-02-19,2019-02-01,2019-01-08,2018-07-06,,,,2020-07-13,2020-01-07,2019-01-17,2018-12-12,,
180,2019-02-05,,,,,,,2019-02-12,,,,,
181,2019-02-22,2018-11-27,2018-07-02,,,,,2019-04-16,2018-12-26,2018-10-04,,,
182,2019-12-06,,,,,,,2020-01-27,,,,,
186,2019-02-11,2018-11-29,2018-08-03,,,,,2020-08-03,2018-12-07,2018-08-24,,,
189,2019-09-03,,,,,,,2020-06-17,,,,,
190,2019-09-03,,,,,,,2020-06-17,,,,,
193,2019-09-16,,,,,,,2019-11-06,,,,,
194,2018-06-28,,,,,,,2020-01-03,,,,,
196,2018-12-12,2018-12-12,,,,,,2019-01-29,2019-01-28,,,,
228,2020-09-28,2020-08-13,2020-02-18,2019-09-27,,,,2021-03-22,2020-08-27,2020-06-24,2019-10-15,,
229,2018-01-03,,,,,,,2018-02-16,,,,,
233,2018-12-27,2018-04-04,,,,,,2019-10-04,2018-11-29,,,,
241,2018-06-11,,,,,,,2019-12-03,,,,,
262,2020-04-24,2020-03-26,,,,,,2020-05-04,2020-04-07,,,,
266,2019-12-04,,,,,,,2020-01-27,,,,,
267,2020-06-10,2020-06-10,2019-02-28,,,,,2020-09-17,2020-06-23,2019-05-09,,,
268,2019-04-10,,,,,,,2020-01-09,,,,,
269,2018-09-20,,,,,,,2020-02-14,,,,,
270,2018-03-23,,,,,,,2019-02-06,,,,,
271,2019-07-05,,,,,,,2019-08-13,,,,,
281,2018-11-09,,,,,,,2019-03-25,,,,,
289,2021-01-27,2018-10-16,2018-06-25,,,,,2019-07-26,2018-06-29,,,,
298,2021-03-09,2020-02-20,,,,,,2020-03-18,,,,,
303,2021-03-19,2018-07-25,2018-07-10,,,,,2018-10-05,2018-07-25,,,,
304,2021-03-22,2018-05-17,2018-05-17,,,,,2018-05-25,,,,,
306,2021-03-26,2018-10-15,,,,,,2020-07-27,,,,,
307,2021-03-28,2018-05-24,,,,,,2018-06-19,,,,,
308,2021-03-28,2018-08-21,,,,,,2019-05-07,,,,,
309,2021-04-04,2018-12-19,2018-08-17,,,,,2019-03-04,2018-12-03,,,,
312,2021-04-09,2019-03-29,2018-11-20,,,,,2019-12-09,2019-03-20,,,,
318,2020-07-05,2017-08-28,,,,,,2018-03-16,,,,,
326,2020-07-26,2020-05-07,,,,,,2020-05-28,,,,,
330,2020-08-10,2017-10-04,,,,,,2019-04-15,,,,,
333,2020-08-14,2017-12-18,,,,,,2019-02-26,,,,,
334,2020-08-16,2018-01-22,2017-11-30,,,,,2018-03-02,2017-12-07,,,,
335,2020-08-18,2018-04-30,,,,,,2018-09-17,,,,,
337,2020-08-20,2019-10-08,,,,,,2020-01-06,,,,,
338,2020-08-22,2018-10-17,,,,,,2019-05-06,,,,,
339,2020-08-26,2018-11-21,,,,,,2018-12-21,,,,,
340,2020-08-28,2019-01-31,,,,,,2019-11-05,,,,,
342,2020-08-31,2018-11-30,,,,,,2019-03-06,,,,,
347,2020-09-14,2019-10-24,,,,,,2019-12-04,,,,,
353,2021-01-02,2020-08-12,,,,,,2020-09-03,,,,,
354,2021-01-22,2018-05-25,2018-04-24,,,,,2018-08-22,2018-04-27,,,,
358,2020-10-07,2019-11-18,,,,,,2020-01-16,,,,,
359,2020-10-07,2018-05-21,,,,,,2018-06-12,,,,,
360,2020-10-08,2019-12-11,2019-10-07,2019-05-21,,,,2020-01-08,2019-11-06,2019-09-10,,,
364,2020-10-13,2018-02-22,,,,,,2018-09-10,,,,,
366,2020-10-23,2018-03-28,,,,,,2019-12-02,,,,,
369,2020-10-08,2020-07-06,,,,,,2020-07-08,,,,,
371,2020-11-07,2018-08-09,2018-01-16,,,,,2018-12-20,2018-04-05,,,,
372,2020-11-08,2019-09-13,2019-01-15,,,,,2020-01-08,2019-02-21,,,,
379,2020-11-05,2018-10-31,,,,,,2020-06-30,,,,,
384,2020-12-29,2019-08-22,,,,,,2020-01-27,,,,,
387,2021-03-10,2020-09-21,,,,,,2021-02-26,,,,,
391,2021-03-24,2021-01-21,,,,,,2021-02-22,,,,,
392,2021-03-09,2020-03-10,,,,,,2020-06-22,,,,,
393,2021-04-17,2019-02-06,,,,,,2019-10-18,,,,,
396,2021-04-09,2020-05-26,,,,,,2021-01-05,,,,,
399,2021-05-14,2018-12-18,,,,,,2019-06-19,,,,,
400,2021-05-16,2019-11-27,,,,,,2019-12-09,,,,,
401,2019-11-05,2019-09-30,,,,,,2020-08-19,2019-10-24,,,,
404,2021-05-25,2020-04-27,,,,,,2020-09-11,,,,,
407,2021-06-02,2019-07-03,2019-07-03,,,,,2019-09-27,2019-07-08,,,,
408,2020-09-05,2018-07-25,,,,,,2019-03-11,,,,,
409,2020-09-18,2018-05-22,,,,,,2018-12-05,,,,,
410,2020-01-02,2020-01-02,2019-02-21,,,,,2020-06-11,2020-01-07,2019-07-31,,,
413,2019-11-15,,,,,,,2020-03-24,,,,,
415,2017-10-23,,,,,,,2017-10-27,,,,,
416,2019-01-28,,,,,,,2019-09-18,,,,,
417,2018-09-20,,,,,,,2018-12-07,,,,,
418,2017-09-18,2017-09-18,,,,,,2018-09-21,2017-09-27,,,,
433,2017-10-24,,,,,,,2019-08-15,,,,,
446,2019-03-25,,,,,,,2019-03-29,,,,,
459,2020-01-27,,,,,,,2020-06-04,,,,,
468,2020-01-03,2019-08-12,,,,,,2020-01-24,2019-12-26,,,,
472,2018-04-23,,,,,,,2019-08-16,,,,,
480,2019-10-28,,,,,,,2019-11-18,,,,,
482,2019-01-15,2018-04-10,2018-02-06,,,,,2019-02-04,2018-12-12,2018-03-14,,,
547,2018-03-14,,,,,,,2018-12-06,,,,,
594,2018-11-30,,,,,,,2019-01-02,,,,,
595,2019-06-04,,,,,,,2020-01-02,,,,,
596,2019-08-21,,,,,,,2020-01-02,,,,,
597,2019-09-09,2019-01-09,,,,,,2020-01-02,2019-01-09,,,,
598,2019-12-16,,,,,,,2020-01-02,,,,,
599,2018-10-24,,,,,,,2019-01-03,,,,,
600,2019-07-23,2018-06-04,,,,,,2020-01-03,2019-06-28,,,,
601,2019-09-27,,,,,,,2020-01-03,,,,,
602,2019-11-25,,,,,,,2020-01-03,,,,,
603,2018-10-16,2018-06-28,2017-12-28,,,,,2019-01-04,2018-09-19,2018-06-19,,,
604,2018-12-28,,,,,,,2019-01-04,,,,,
605,2020-07-06,,,,,,,2021-01-04,,,,,
606,2020-12-18,2020-12-18,2020-07-27,2020-07-27,2019-05-20,2019-05-20,2018-11-10,2021-01-05,2020-11-02,2020-07-09,2018-12-17,,
607,2020-12-25,,,,,,,2021-01-05,,,,,
608,2019-05-30,2019-05-14,,,,,,2020-01-06,2019-05-23,,,,
609,2019-09-17,,,,,,,2020-01-06,,,,,
610,2019-10-17,,,,,,,2020-01-06,,,,,
611,2019-12-05,,,,,,,2020-01-06,,,,,
612,2019-12-19,,,,,,,2020-01-06,,,,,
613,2021-01-06,,,,,,,2021-01-06,,,,,
614,2020-03-09,2019-10-22,,,,,,2021-01-06,2019-10-24,,,,
615,2019-08-15,,,,,,,2021-01-06,,,,,
616,2019-01-02,,,,,,,2019-01-07,,,,,
617,2019-04-25,2019-02-26,,,,,,2020-01-07,2019-02-27,,,,
618,2019-06-17,2018-02-22,,,,,,2020-01-07,2019-06-04,,,,
619,2019-07-08,,,,,,,2020-01-07,,,,,
620,2019-07-31,,,,,,,2020-01-07,,,,,
621,2019-10-15,,,,,,,2020-01-07,,,,,
622,2019-11-12,,,,,,,2020-01-07,,,,,
623,2019-12-17,2018-11-16,,,,,,2020-01-07,2019-11-21,,,,
624,2019-12-20,2019-11-26,,,,,,2020-01-07,2019-12-16,,,,
626,2017-12-22,2017-11-09,,,,,,2018-01-08,2017-12-14,,,,
627,2017-12-22,,,,,,,2018-01-08,,,,,
628,2018-07-26,2017-12-07,,,,,,2019-01-08,2018-07-09,,,,
629,2018-07-26,2017-12-07,,,,,,2019-01-08,2018-07-09,,,,
630,2019-07-03,,,,,,,2020-01-08,,,,,
631,2019-09-11,2019-05-10,2019-01-03,2018-08-15,,,,2020-01-08,2019-08-05,2019-04-01,2018-12-14,,
632,2017-12-28,,,,,,,2018-01-09,,,,,
633,2018-07-27,,,,,,,2019-01-09,,,,,
634,2017-11-30,2017-10-09,2017-09-27,,,,,2019-01-09,2017-11-08,2017-09-27,,,
635,2018-12-06,,,,,,,2019-01-09,,,,,
636,2017-12-12,,,,,,,2019-01-09,,,,,
637,2020-01-09,2019-10-29,2018-12-13,,,,,2020-01-09,2019-12-03,2019-10-02,,,
638,2019-04-25,,,,,,,2020-01-09,,,,,
639,2019-04-29,2019-04-29,2018-08-13,2018-02-23,,,,2020-01-09,2019-02-05,2018-05-10,,,
640,2019-06-28,,,,,,,2020-01-09,,,,,
641,2019-07-19,2018-06-19,,,,,,2020-01-09,2019-07-03,,,,
642,2019-07-24,,,,,,,2020-01-09,,,,,
643,2019-09-10,2018-11-05,,,,,,2020-01-09,2019-01-03,,,,
644,2019-10-25,,,,,,,2020-01-09,,,,,
645,2019-11-12,2019-06-14,,,,,,2020-01-09,2019-09-27,,,,
646,2018-08-27,,,,,,,2019-01-10,,,,,
647,2018-12-11,,,,,,,2019-01-10,,,,,
648,2019-02-27,2018-06-26,,,,,,2020-01-10,2019-02-13,,,,
649,2019-05-30,2019-04-04,,,,,,2020-01-10,2019-04-25,,,,
650,2019-08-05,2018-12-21,,,,,,2020-01-10,2019-07-12,,,,
651,2019-12-10,2019-06-24,2018-09-11,2018-09-11,,,,2020-01-10,2019-12-03,2019-06-17,2018-09-11,,
652,2017-09-12,,,,,,,2018-01-11,,,,,
653,2019-01-10,,,,,,,2019-01-11,,,,,
654,2017-09-27,,,,,,,2019-01-11,,,,,
655,2020-08-06,,,,,,,2021-01-11,,,,,
656,2020-10-01,2020-10-01,2020-01-17,2019-06-17,,,,2021-01-11,2021-01-11,2020-01-17,2020-01-07,,
658,2020-09-20,2019-09-19,,,,,,2021-01-12,2019-09-25,,,,
659,2020-12-04,2020-12-04,2019-06-28,,,,,2021-01-12,2021-01-11,2020-10-07,,,
660,2019-02-13,2017-10-25,,,,,,2020-01-13,2018-01-04,,,,
661,2019-09-25,,,,,,,2020-01-13,,,,,
662,2019-10-30,2019-04-26,2018-10-17,,,,,2020-01-13,2019-09-03,2019-04-24,,,
663,2020-07-16,,,,,,,2021-01-13,,,,,
664,2020-09-01,2020-09-01,,,,,,2021-01-13,,,,,
665,2020-11-06,2020-11-06,2019-12-23,,,,,2021-01-13,2020-11-06,2020-04-06,,,
666,2019-11-21,2019-08-28,,,,,,2021-01-13,2019-08-30,,,,
667,2020-01-03,,,,,,,2020-01-14,,,,,
668,2020-01-07,,,,,,,2020-01-14,,,,,
669,2019-08-22,,,,,,,2020-01-14,,,,,
670,2019-10-21,,,,,,,2020-01-14,,,,,
671,2019-11-26,2019-10-16,2019-01-22,,,,,2020-01-14,2019-10-30,2019-08-15,,,
672,2019-12-02,,,,,,,2020-01-14,,,,,
673,2020-07-18,2019-07-05,2019-01-26,,,,,2021-01-14,2020-06-29,2019-03-22,,,
674,2020-08-14,2019-12-30,2019-07-08,,,,,2021-01-14,2020-01-06,2019-12-11,,,
675,2019-03-18,,,,,,,2020-01-15,,,,,
676,2018-05-31,,,,,,,2020-01-15,,,,,
677,2019-08-19,,,,,,,2020-01-15,,,,,
678,2019-09-18,,,,,,,2020-01-15,,,,,
679,2019-10-03,,,,,,,2020-01-15,,,,,
680,2020-06-05,,,,,,,2021-01-15,,,,,
681,2018-01-05,,,,,,,2018-01-16,,,,,
682,2018-03-05,2018-03-05,,,,,,2019-01-16,2018-03-26,,,,
683,2018-12-06,,,,,,,2019-01-16,,,,,
684,2020-01-16,2019-12-13,2018-02-22,,,,,2020-01-16,2020-01-08,2019-10-25,,,
685,2019-11-13,,,,,,,2020-01-16,,,,,
686,2018-11-27,,,,,,,2020-01-16,,,,,
687,2019-07-03,,,,,,,2020-01-17,,,,,
688,2019-08-06,2018-12-10,2018-09-24,2018-05-18,,,,2020-01-17,2019-01-23,2018-10-31,2018-08-29,,
689,2019-09-17,,,,,,,2020-01-17,,,,,
690,2019-10-29,2019-07-15,,,,,,2020-01-17,2019-10-21,,,,
691,2018-01-04,,,,,,,2018-01-18,,,,,
692,2017-09-07,,,,,,,2018-01-18,,,,,
693,2017-12-05,,,,,,,2018-01-18,,,,,
694,2017-12-15,,,,,,,2018-01-18,,,,,
695,2018-09-19,,,,,,,2019-01-18,,,,,
696,2017-12-13,,,,,,,2018-01-19,,,,,
697,2020-01-27,,,,,,,2021-01-19,,,,,
698,2020-10-16,2020-01-30,2019-08-05,,,,,2021-01-19,2020-07-13,2020-01-09,,,
699,2019-11-25,2019-11-25,2019-06-13,,,,,2021-01-19,2019-10-18,,,,
700,2018-12-14,,,,,,,2021-01-19,,,,,
701,2019-04-22,,,,,,,2021-01-20,,,,,
702,2020-07-23,2021-04-11,2020-07-23,,,,,2021-01-20,,,,,
703,2020-07-31,2019-05-13,2019-05-13,2019-05-13,,,,2021-01-20,2019-12-18,2019-05-21,2019-05-21,,
704,2020-12-18,,,,,,,2021-01-20,,,,,
705,2020-01-10,,,,,,,2020-01-21,,,,,
706,2019-01-23,,,,,,,2020-01-21,,,,,
707,2019-08-21,,,,,,,2020-01-21,,,,,
708,2019-09-06,,,,,,,2020-01-21,,,,,
709,2019-12-05,,,,,,,2020-01-21,,,,,
710,2019-12-12,,,,,,,2020-01-21,,,,,
711,2020-02-03,,,,,,,2021-01-21,,,,,
712,2020-08-21,,,,,,,2021-01-21,,,,,
713,2019-06-21,,,,,,,2020-01-22,,,,,
714,2019-07-23,,,,,,,2020-01-22,,,,,
715,2019-10-30,2018-09-21,,,,,,2020-01-22,2019-10-11,,,,
716,2019-12-19,,,,,,,2020-01-22,,,,,
717,2020-06-05,2020-06-05,2019-02-25,,,,,2021-01-22,2020-07-28,2019-10-28,,,
718,2020-12-11,2020-06-01,,,,,,2021-01-22,2020-07-17,,,,
719,2020-12-20,,,,,,,2021-01-22,,,,,
720,2018-01-19,,,,,,,2018-01-23,,,,,
721,2019-01-05,2018-07-31,,,,,,2019-01-23,2018-12-20,,,,
722,2020-01-21,2018-07-20,,,,,,2020-01-23,2020-01-08,,,,
723,2019-10-18,,,,,,,2020-01-23,,,,,
724,2019-11-01,,,,,,,2020-01-23,,,,,
725,2019-01-17,,,,,,,2019-01-24,,,,,
726,2018-10-29,,,,,,,2019-01-24,,,,,
727,2020-01-23,,,,,,,2020-01-24,,,,,
728,2019-08-26,,,,,,,2020-01-24,,,,,
729,2018-03-26,2018-01-09,2017-10-10,,,,,2019-01-25,2018-03-08,2018-01-04,,,
730,2018-11-02,,,,,,,2019-01-25,,,,,
731,2018-11-29,,,,,,,2019-01-25,,,,,
732,2021-01-25,2018-05-11,2021-01-25,2018-05-11,,,,2021-01-25,2018-09-06,2018-09-06,,,
734,2021-01-05,2020-11-24,,,,,,2021-01-26,2020-12-14,,,,
735,2020-07-28,,,,,,,2021-01-26,,,,,
736,2019-08-26,,,,,,,2020-01-27,,,,,
737,2018-08-28,2018-08-17,,,,,,2020-01-27,2018-08-24,,,,
738,2019-11-01,,,,,,,2020-01-27,,,,,
739,2019-11-04,2019-07-05,2019-03-18,,,,,2020-01-27,2019-09-17,2019-06-06,,,
740,2019-11-15,,,,,,,2020-01-27,,,,,
741,2019-11-15,2019-01-22,2017-08-29,,,,,2020-01-27,2019-03-07,2019-01-10,,,
742,2019-01-12,2018-07-30,,,,,,2020-01-28,2018-08-07,,,,
743,2020-01-16,,,,,,,2020-01-28,,,,,
744,2019-03-12,,,,,,,2020-01-28,,,,,
745,2019-10-10,2019-08-19,2018-02-05,,,,,2020-01-28,2019-09-04,2019-08-02,,,
746,2019-11-24,,,,,,,2020-01-28,,,,,
747,2019-12-10,,,,,,,2020-01-28,,,,,
748,2017-11-22,,,,,,,2018-01-29,,,,,
749,2018-12-17,2018-11-16,,,,,,2019-01-29,2018-12-14,,,,
750,2020-01-09,2019-05-21,,,,,,2020-01-29,2019-10-31,,,,
751,2020-01-09,2019-06-11,,,,,,2020-01-29,2019-10-31,,,,
752,2018-05-15,,,,,,,2020-01-29,,,,,
753,2018-10-10,,,,,,,2020-01-29,,,,,
754,2018-01-23,,,,,,,2018-01-30,,,,,
755,2017-09-13,,,,,,,2018-01-30,,,,,
756,2018-06-04,,,,,,,2019-01-30,,,,,
757,2018-12-10,,,,,,,2019-01-30,,,,,
758,2020-01-29,,,,,,,2020-01-30,,,,,
759,2018-03-14,2018-01-22,,,,,,2020-01-30,2018-01-29,,,,
760,2018-04-10,,,,,,,2020-01-30,,,,,
761,2019-07-30,,,,,,,2020-01-30,,,,,
762,2017-11-06,,,,,,,2020-01-30,,,,,
763,2018-10-16,,,,,,,2019-01-31,,,,,
764,2018-11-21,,,,,,,2019-01-31,,,,,
765,2019-01-07,2018-06-28,,,,,,2020-01-31,2018-09-07,,,,
766,2019-10-07,,,,,,,2020-01-31,,,,,
767,2018-11-21,,,,,,,2020-01-31,,,,,
768,2019-11-26,,,,,,,2020-01-31,,,,,
769,2021-01-29,2019-01-24,,,,,,2021-02-01,2019-02-04,,,,
770,2018-01-08,,,,,,,2018-02-02,,,,,
771,2021-02-03,,,,,,,2021-02-02,,,,,
772,2020-08-04,,,,,,,2021-02-02,,,,,
773,2020-12-28,2020-12-28,,,,,,2021-02-02,2021-01-20,,,,
774,2020-01-31,,,,,,,2020-02-03,,,,,
775,2020-01-31,2019-07-03,,,,,,2020-02-03,2020-01-08,,,,
776,2019-05-28,2019-04-16,,,,,,2020-02-03,2019-05-02,,,,
777,2019-12-13,2019-02-11,2018-11-06,,,,,2020-02-03,2019-09-09,2019-01-15,,,
778,2021-01-25,,,,,,,2021-02-03,,,,,
779,2021-01-29,,,,,,,2021-02-03,,,,,
780,2020-12-02,,,,,,,2021-02-03,,,,,
781,2018-01-04,,,,,,,2019-02-04,,,,,
782,2019-01-22,,,,,,,2019-02-04,,,,,
783,2019-01-24,,,,,,,2019-02-04,,,,,
784,2018-10-31,2018-03-26,,,,,,2019-02-04,2018-10-25,,,,
785,2020-01-30,,,,,,,2020-02-04,,,,,
786,2019-04-09,,,,,,,2020-02-04,,,,,
787,2019-12-02,,,,,,,2020-02-04,,,,,
788,2020-12-02,,,,,,,2021-02-04,,,,,
789,2021-01-28,2020-07-16,,,,,,2021-02-04,2020-10-08,,,,
790,2018-03-13,,,,,,,2019-02-05,,,,,
791,2018-04-30,,,,,,,2019-02-05,,,,,
792,2018-07-18,2018-06-07,,,,,,2019-02-05,2018-06-11,,,,
793,2018-12-31,,,,,,,2019-02-05,,,,,
794,2019-01-17,,,,,,,2020-02-05,,,,,
795,2019-01-31,,,,,,,2020-02-05,,,,,
796,2019-09-30,,,,,,,2020-02-05,,,,,
797,2017-12-06,2017-12-06,,,,,,2018-02-06,2017-12-14,,,,
798,2019-01-09,,,,,,,2019-02-06,,,,,
799,2019-01-28,2018-10-04,2018-06-11,,,,,2019-02-06,2018-11-05,2018-06-27,,,
800,2019-02-05,,,,,,,2019-02-07,,,,,
801,2018-10-31,,,,,,,2019-02-07,,,,,
802,2020-01-28,,,,,,,2020-02-07,,,,,
803,2020-02-03,2019-04-01,,,,,,2020-02-07,2019-04-11,,,,
804,2019-08-23,2018-06-19,,,,,,2020-02-07,2018-07-18,,,,
805,2019-10-04,,,,,,,2020-02-07,,,,,
806,2018-12-19,,,,,,,2019-02-08,,,,,
807,2019-12-02,,,,,,,2021-02-08,,,,,
808,2021-01-04,2020-08-19,,,,,,2021-02-09,2020-10-16,,,,
809,2021-01-04,2020-08-19,,,,,,2021-02-09,2020-10-16,,,,
810,2020-05-27,,,,,,,2021-02-09,,,,,
811,2019-08-30,,,,,,,2020-02-10,,,,,
812,2019-12-12,,,,,,,2020-02-10,,,,,
814,2020-06-08,2020-06-08,2018-11-15,,,,,2021-02-10,2020-07-16,2019-12-04,,,
815,2020-08-07,,,,,,,2021-02-10,,,,,
816,2020-09-30,2020-09-30,,,,,,2021-02-10,2020-09-30,,,,
817,2019-02-08,,,,,,,2019-02-11,,,,,
818,2018-06-19,2018-04-09,,,,,,2019-02-11,2018-05-10,,,,
820,2019-06-11,,,,,,,2020-02-11,,,,,
821,2018-08-13,,,,,,,2020-02-11,,,,,
822,2018-01-09,,,,,,,2018-02-12,,,,,
823,2019-01-16,,,,,,,2019-02-12,,,,,
824,2019-02-05,2018-05-17,2018-03-29,,,,,2019-02-12,2018-07-02,2018-05-10,,,
825,2019-02-01,2018-10-05,,,,,,2020-02-12,2018-11-21,,,,
826,2019-03-20,,,,,,,2020-02-12,,,,,
827,2018-09-04,,,,,,,2020-02-12,,,,,
828,2020-11-30,2020-04-30,,,,,,2021-02-12,2020-09-10,,,,
829,2017-07-31,,,,,,,2019-02-13,,,,,
830,2019-03-13,2019-01-04,2018-12-14,,,,,2020-02-13,2019-02-01,2018-12-14,,,
831,2019-06-17,2019-02-05,,,,,,2020-02-13,2019-04-05,,,,
832,2019-10-14,,,,,,,2020-02-13,,,,,
833,2019-10-21,,,,,,,2020-02-13,,,,,
834,2019-12-06,,,,,,,2020-02-13,,,,,
835,2019-12-19,,,,,,,2020-02-13,,,,,
836,2017-12-11,,,,,,,2018-02-14,,,,,
837,2018-03-16,,,,,,,2019-02-14,,,,,
838,2020-01-23,,,,,,,2020-02-14,,,,,
839,2018-04-04,2018-01-29,,,,,,2020-02-14,2018-03-08,,,,
840,2017-09-05,,,,,,,2018-02-15,,,,,
841,2021-02-12,,,,,,,2021-02-16,,,,,
842,2020-09-11,2020-02-10,,,,,,2021-02-16,2020-02-18,,,,
843,2020-09-04,2020-07-16,,,,,,2021-02-17,2020-07-24,,,,
844,2019-01-22,,,,,,,2020-02-18,,,,,
845,2019-06-11,2018-12-10,2018-11-16,,,,,2020-02-18,2019-06-06,2018-11-28,,,
846,2019-07-23,2019-06-17,2019-04-09,2018-11-27,2018-10-19,,,2020-02-18,2019-06-28,2019-05-02,2019-03-21,2018-11-15,
847,2019-10-28,2019-02-26,,,,,,2020-02-18,2019-09-06,,,,
848,2019-11-25,,,,,,,2020-02-18,,,,,
849,2020-08-26,2020-08-26,,,,,,2021-02-18,2020-08-26,,,,
850,2019-02-04,,,,,,,2019-02-19,,,,,
851,2020-01-15,2019-03-21,,,,,,2020-02-19,2019-05-16,,,,
852,2019-06-06,,,,,,,2020-02-19,,,,,
853,2019-07-16,,,,,,,2020-02-19,,,,,
854,2019-12-27,,,,,,,2020-02-19,,,,,
855,2018-02-02,,,,,,,2018-02-20,,,,,
856,2018-03-26,,,,,,,2019-02-20,,,,,
857,2018-04-11,2018-03-05,,,,,,2020-02-20,2018-03-08,,,,
858,2019-04-25,,,,,,,2020-02-20,,,,,
859,2018-09-11,,,,,,,2020-02-20,,,,,
860,2019-09-16,2019-09-16,,,,,,2020-02-20,,,,,
861,2018-10-25,,,,,,,2020-02-20,,,,,
862,2017-09-11,,,,,,,2018-02-21,,,,,
863,2019-01-02,,,,,,,2019-02-21,,,,,
864,2019-01-31,,,,,,,2019-02-21,,,,,
865,2019-01-31,,,,,,,2019-02-21,,,,,
866,2019-02-14,2018-09-06,,,,,,2019-02-21,2019-01-07,,,,
867,2018-11-14,,,,,,,2019-02-21,,,,,
868,2020-01-09,,,,,,,2020-02-21,,,,,
869,2020-01-09,,,,,,,2020-02-21,,,,,
870,2019-07-24,2019-03-29,,,,,,2020-02-21,2019-07-16,,,,
871,2019-08-05,2020-09-24,,,,,,2020-02-21,,,,,
872,2019-08-05,,,,,,,2020-02-21,,,,,
873,2018-02-20,,,,,,,2018-02-22,,,,,
874,2019-02-04,,,,,,,2019-02-22,,,,,
875,2017-10-12,,,,,,,2019-02-22,,,,,
876,2021-02-08,,,,,,,2021-02-22,,,,,
877,2021-02-08,,,,,,,2021-02-22,,,,,
878,2020-02-20,,,,,,,2020-02-24,,,,,
879,2019-08-26,,,,,,,2020-02-24,,,,,
880,2021-02-18,,,,,,,2021-02-24,,,,,
881,2020-08-24,,,,,,,2021-02-24,,,,,
882,2019-02-20,,,,,,,2019-02-25,,,,,
883,2019-04-11,,,,,,,2020-02-25,,,,,
884,2018-10-08,,,,,,,2020-02-25,,,,,
885,2019-02-08,2018-10-22,2018-07-19,2018-06-29,,,,2019-02-26,2019-01-03,2018-09-17,2018-07-13,,
886,2019-02-15,,,,,,,2019-02-26,,,,,
887,2018-03-26,2017-11-29,,,,,,2019-02-26,2018-01-24,,,,
888,2018-10-29,2018-07-19,2018-03-21,,,,,2019-02-26,2018-09-17,2018-07-13,,,
889,2019-05-16,,,,,,,2020-02-26,,,,,
890,2018-08-14,,,,,,,2020-02-26,,,,,
891,2020-01-13,,,,,,,2021-02-26,,,,,
892,2021-02-05,,,,,,,2021-02-26,,,,,
893,2021-02-09,,,,,,,2021-02-26,,,,,
894,2021-02-17,,,,,,,2021-02-26,,,,,
895,2021-02-21,,,,,,,2021-02-26,,,,,
