,exit_1,exit_2,exit_3,exit_4,exit_5,exit_6,exit_7,enter_1,enter_2,enter_3,enter_4,enter_5,enter_6
1298,2019-03-11,,,,,,,2019-06-05,,,,,
1299,2019-03-11,,,,,,,2019-06-05,,,,,
1300,2019-03-11,2018-07-16,,,,,,2019-06-05,2018-08-06,,,,
1301,2018-03-21,,,,,,,2019-06-05,,,,,
1302,2018-08-03,,,,,,,2019-06-05,,,,,
1303,2018-09-06,,,,,,,2019-06-05,,,,,
1304,2018-12-10,,,,,,,2019-06-05,,,,,
1305,2020-01-29,,,,,,,2020-06-05,,,,,
1306,2020-03-20,2019-09-16,,,,,,2020-06-05,2020-02-10,,,,
1307,2019-04-12,,,,,,,2020-06-05,,,,,
1308,2020-04-15,2019-07-08,2019-06-10,,,,,2020-06-05,2020-04-09,2019-06-20,,,
1309,2018-08-27,,,,,,,2019-06-06,,,,,
1310,2019-06-05,2018-04-11,2017-10-13,,,,,2019-06-07,2019-05-21,2018-04-02,,,
1311,2018-08-03,,,,,,,2019-06-07,,,,,
1312,2021-04-23,2020-09-08,2019-09-23,,,,,2021-06-07,2021-03-08,2020-08-05,,,
1313,2021-05-28,2020-04-15,,,,,,2021-06-07,2020-05-29,,,,
1314,2020-09-08,2019-09-23,,,,,,2021-06-07,2020-08-05,,,,
1315,2018-01-31,2017-08-16,,,,,,2018-06-08,2018-01-10,,,,
1316,2018-04-05,,,,,,,2018-06-08,,,,,
1317,2020-01-22,,,,,,,2020-06-08,,,,,
1318,2020-05-26,,,,,,,2020-06-08,,,,,
1319,2020-06-02,,,,,,,2020-06-08,,,,,
1320,2018-12-18,,,,,,,2020-06-08,,,,,
1321,2019-05-02,,,,,,,2020-06-09,,,,,
1322,2019-06-13,,,,,,,2020-06-09,,,,,
1323,2018-07-12,,,,,,,2020-06-09,,,,,
1324,2021-04-28,2020-04-03,2019-12-12,,,,,2021-06-09,2020-08-19,2020-03-11,,,
1325,2020-10-13,2020-09-13,2019-11-15,,,,,2021-06-09,2020-09-17,2019-11-27,,,
1326,2019-03-15,,,,,,,2019-06-10,,,,,
1327,2019-04-23,,,,,,,2019-06-10,,,,,
1328,2019-04-23,,,,,,,2019-06-10,,,,,
1329,2019-05-23,,,,,,,2019-06-10,,,,,
1330,2019-03-05,,,,,,,2020-06-10,,,,,
1331,2020-03-09,2018-10-22,,,,,,2020-06-10,2018-11-06,,,,
1332,2017-10-31,,,,,,,2018-06-11,,,,,
1333,2018-03-12,,,,,,,2019-06-11,,,,,
1334,2019-04-10,,,,,,,2019-06-11,,,,,
1335,2018-05-03,,,,,,,2018-06-12,,,,,
1336,2018-06-08,2017-10-26,,,,,,2018-06-12,2018-04-25,,,,
1337,2018-05-10,,,,,,,2019-06-12,,,,,
1338,2019-05-14,,,,,,,2019-06-12,,,,,
1339,2018-11-20,,,,,,,2020-06-12,,,,,
1340,2019-04-05,,,,,,,2019-06-13,,,,,
1341,2019-05-24,,,,,,,2019-06-13,,,,,
1342,2018-11-15,,,,,,,2019-06-13,,,,,
1343,2018-02-08,,,,,,,2018-06-15,,,,,
1344,2018-05-30,,,,,,,2018-06-15,,,,,
1345,2018-08-14,,,,,,,2020-06-15,,,,,
1346,2019-12-03,,,,,,,2020-06-15,,,,,
1347,2018-01-26,,,,,,,2019-06-17,,,,,
1348,2019-03-08,2018-11-28,,,,,,2019-06-17,2019-03-08,,,,
1349,2018-04-02,,,,,,,2019-06-17,,,,,
1350,2019-06-12,,,,,,,2019-06-17,,,,,
1351,2020-01-03,2019-06-14,,,,,,2020-06-17,2019-07-12,,,,
1352,2020-01-10,2020-01-10,2019-11-08,,,,,2020-06-17,2020-01-02,,,,
1353,2020-04-08,,,,,,,2020-06-17,,,,,
1354,2018-08-28,,,,,,,2019-06-18,,,,,
1355,2020-06-15,2019-07-11,,,,,,2020-06-18,2020-06-08,,,,
1356,2019-07-16,,,,,,,2020-06-18,,,,,
1357,2018-05-30,,,,,,,2018-06-19,,,,,
1358,2018-06-19,2017-09-02,,,,,,2018-06-19,2018-05-21,,,,
1359,2018-05-08,,,,,,,2019-06-19,,,,,
1360,2019-05-24,,,,,,,2019-06-19,,,,,
1361,2020-02-28,,,,,,,2020-06-19,,,,,
1362,2020-04-13,2017-09-18,,,,,,2020-06-19,2019-04-10,,,,
1363,2020-06-15,2019-08-23,,,,,,2020-06-19,2020-03-20,,,,
1364,2018-05-21,,,,,,,2018-06-20,,,,,
1365,2019-05-03,,,,,,,2019-06-20,,,,,
1366,2018-10-22,,,,,,,2019-06-20,,,,,
1367,2018-06-13,,,,,,,2018-06-21,,,,,
1368,2019-01-24,,,,,,,2019-06-21,,,,,
1369,2019-05-06,2019-05-06,,,,,,2019-06-21,,,,,
1370,2017-10-10,,,,,,,2018-06-22,,,,,
1371,2018-05-18,,,,,,,2020-06-22,,,,,
1372,2019-06-07,2021-05-13,,,,,,2020-06-22,,,,,
1373,2018-07-12,,,,,,,2020-06-22,,,,,
1374,2018-07-25,,,,,,,2020-06-22,,,,,
1375,2019-12-19,,,,,,,2020-06-22,,,,,
1376,2020-03-11,,,,,,,2020-06-23,,,,,
1377,2018-05-18,,,,,,,2020-06-23,,,,,
1378,2019-08-02,,,,,,,2020-06-23,,,,,
1379,2019-08-16,,,,,,,2020-06-23,,,,,
1380,2019-10-29,,,,,,,2020-06-23,,,,,
1381,2019-06-24,,,,,,,2019-06-24,,,,,
1382,2018-06-11,,,,,,,2020-06-24,,,,,
